food_id,name,before_url,after_url,reason
food-1ksr7hg,アイスクリーム スチュアート・バケツ スプーン付き,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-ice-cream-with-stuart-bucket-with-spoon-summer-2025-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-ice-cream-with-stuart-bucket-with-spoon-summer-2025-b.jpg,同一food ID (food-1ksr7hg) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-yo6xci priority=1 enabled=true
food-1kx2jev,ツナマヨ&サクラエビ ピッツァ・デニッシュセット,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-pizza-danish-meal-tuna-mayonnaise-and-sakura-shrimp-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-pizza-danish-meal-tuna-mayonnaise-and-sakura-shrimp-gallery-b.jpg,同一food ID (food-1kx2jev) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-cmuent priority=1 enabled=true
food-17k66nk,カレー・キッズプレート,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-curry-kids-plate-summer-2025-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-curry-kids-plate-summer-2025-offercard-h.jpg,同一food ID (food-17k66nk) の rich.images[2] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-odldap priority=1 enabled=true
food-c4k9tn,サンドウィッチ・キッズプレート,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-sandwich-kids-meal-summer-2025-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-sandwich-kids-meal-summer-2025-offercard-h.jpg,同一food ID (food-c4k9tn) の rich.images[2] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1yubiwr priority=1 enabled=true
food-1m8i41b,バタービールTM・シュークリーム,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-butterbeer-cream-puff-three-broomsticks-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-butterbeer-cream-puff-three-broomsticks-gallery-b.jpg,同一food ID (food-1m8i41b) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-10hodo2 priority=1 enabled=true
food-up3lba,ローストビーフ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-roast-beef-three-broomsticks-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-roast-beef-three-broomsticks-gallery-b.jpg,同一food ID (food-up3lba) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1npdruq priority=1 enabled=true
food-1reufss,ロティサリー・スモークチキン&ポークリブ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-rotisserie-smoked-chicken-and-pork-ribs-plate-with-beef-onion-pie-and-potato-soup-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-rotisserie-smoked-chicken-and-pork-ribs-plate-with-beef-onion-pie-and-potato-soup-v2-gallery-b.jpg,同一food ID (food-1reufss) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-nv5zav priority=1 enabled=true
food-bsvsuj,チャイニーズ・ポークリブ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-chinese-pork-rib-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-chinese-pork-rib-gallery-b.jpg,同一food ID (food-bsvsuj) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-xy7d4t priority=1 enabled=true
food-1tt1au7,アメリカン・ホットドッグ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-american-hot-dog-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-american-hot-dog-gallery-b.jpg,同一food ID (food-1tt1au7) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=food-1tt1au7-img-2 priority=2 enabled=true
food-7yyri,キッズ・ハンバーガーセット,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-kids-hamburger-meal-spring-2025-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-kids-hamburger-meal-spring-2025-gallery-b.jpg,同一food ID (food-7yyri) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1geg723 priority=1 enabled=true
food-1n8s9rw,ターキーレッグ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-turkey-leg-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-turkey-leg-gallery-b.jpg,同一food ID (food-1n8s9rw) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1eyp54h priority=1 enabled=true
food-1yhw1tx,スモークチキン,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-smoked-chicken-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-smoked-chicken-gallery-b.jpg,同一food ID (food-1yhw1tx) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-565gav priority=1 enabled=true
food-84qjxm,ブラックペッパー・ポークリブ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-black-pepper-porkrib-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-black-pepper-porkrib-gallery-b.jpg,同一food ID (food-84qjxm) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-cmpp7j priority=1 enabled=true
food-cygfys,スーパー・ニンテンドー・ワールド・アニバーサリーケーキ(4名様分),https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-super-nintendo-world-anniversary-cake-for4-spring-2026-offercard-h.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-super-nintendo-world-anniversary-cake-for4-spring-2026-gallery-a.jpg,同一food ID (food-cygfys) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-bijy9w priority=1 enabled=true
food-62sv4l,スーパースター・アニバーサリープレート ~マッシュルーム・ラザニア&フライドチキン~,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-super-star-anniversary-plate-mushroom-lasagna-and-fried-chicken-spring-2026-offercard-h.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-super-star-anniversary-plate-mushroom-lasagna-and-fried-chicken-spring-2026-gallery-a.jpg,同一food ID (food-62sv4l) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-lxp5js priority=1 enabled=true
food-1eqmspw,ハンバーガー・キッズセット(マリオのピック付き),https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-hamburger-kids-set-with-mario-pick-wood-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-hamburger-kids-set-with-mario-pick-wood-gallery-b.jpg,同一food ID (food-1eqmspw) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1d02xwf priority=1 enabled=true
food-it27lt,マッシュルームスープ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-mushroom-soup-wood-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-mushroom-soup-wood-gallery-b.jpg,同一food ID (food-it27lt) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1y8jj9 priority=1 enabled=true
food-1yi0toj,DK クラッシュサンデー ~トロピカルバナナ・フレーバー~ マグカップ付き,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-dk-crush-sundae-tropical-banana-flavor-spring-2025-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-dk-crush-sundae-tropical-banana-flavor-spring-2025-gallery-b.jpg,同一food ID (food-1yi0toj) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-fdsfsi priority=1 enabled=true
food-1nxl32b,ジャングル・ビート・シェイク,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-jungle-beat-shakes-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-jungle-beat-shakes-b.jpg,同一food ID (food-1nxl32b) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1pr0ps5 priority=1 enabled=true
food-p0tpmw,アニバーサリー・スーパースター・ポップコーンバケツ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-anniversary-super-star-popcorn-bucket-spring-2026-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-anniversary-super-star-popcorn-bucket-spring-2026-gallery-b.jpg,同一food ID (food-p0tpmw) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1q78lg4 priority=1 enabled=true
food-c2z2tz,めざせ大悪党! デイブ・ポップコーンバケツ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-wannabe-villain-dave-popcorn-bucket-2025-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-wannabe-villain-dave-popcorn-bucket-2025-b.jpg,同一food ID (food-c2z2tz) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-cs4ddv priority=1 enabled=true
food-4n0ipg,キッズ・サンドウィッチセット,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-kids-sandwich-meal-spring-2025-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-kids-sandwich-meal-spring-2025-offercard-h.jpg,同一food ID (food-4n0ipg) の rich.images[2] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1eh0bwy priority=1 enabled=true
food-1f1v45i,チキンレッグカレー・プレート,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-chicken-leg-curry-meal-spring-2026-offercard-h.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-chicken-leg-curry-meal-spring-2026-gallery-b.jpg,同一food ID (food-1f1v45i) の rich.images[2] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-8ddftw priority=1 enabled=true
food-exqw6q,ボムへい ポップコーンバケツ,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-bob-omb-popcorn-bucket-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-bob-omb-popcorn-bucket-gallery-b.jpg,同一food ID (food-exqw6q) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-1bdpqr6 priority=1 enabled=true
food-rvos7a,プルドポークバーガー 25周年コースターセット,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-pulled-pork-burger-and-25th-anniversary-coaster-meal-spring-2026-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-pulled-pork-burger-and-25th-anniversary-coaster-meal-spring-2026-gallery-b.jpg,同一food ID (food-rvos7a) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-3r0zwk priority=1 enabled=true
food-2jv220,ウィキッド・チュリトス ~ピーナッツバター・フレーバー~,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-wicked-churritos-peanut-butter-flavor-spring-2026-gallery-a.jpg,https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-wicked-churritos-peanut-butter-flavor-spring-2026-gallery-b.jpg,同一food ID (food-2jv220) の rich.images[1] に既に存在し、200 / image/jpeg を確認。同一food IDのimages配列内候補 id=image-nrnxx4 priority=1 enabled=true
