food_id,name,old_url,new_url,category,reason,source,evidence
"","スペシャルドリンク&コースターセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","キノピオ・カフェTMのドリンクステーション","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ミニオンズ・カップデザート","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","花香る フリーレンのホワイトソーダ(フリーレンコースター付)","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ジョーズ・スプラッシュ ~ブルーハワイ&ソーダ~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ミニオン・スプーン&フォークセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ミートスパゲティセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","エビカツバーガーセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","JAWSがくるぞ!~クリームソーダ・ロールケーキ~","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","パワーアップ! マリオのストロベリーソーダ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","めざせ大悪党! デイブ・ポップコーンバケツ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","チキンレッグカレー・プレート","","","B","同一food IDのimages配列に存在する別画像URLでHTTP 200 imageを確認。","same-food-images-array","https://www.usj.co.jp/tridiondata/usj/ja/jp/files/images/gds-images/usj-gds-food-chicken-leg-curry-meal-spring-2026-gallery-b.jpg"
"","フェルンのチェリー&ブルーベリーパフェ(蝶のスプーン付)","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","アミティ・キッズセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","カレーライス・キッズセット","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ソフトドリンク (憧れの大悪党? ボブ・ドリンクボトル)","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","スモークチキン","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","ティム・ポップコーンバケツ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","憧れの大悪党? ボブ・ドリンクボトル","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","くいしん坊ミニオンたちの大発明!「クッキー・マシン」で作る絶品サンド","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
"","パワーアップ! ピーチ姫のピーチソーダ","","","C","Git履歴/過去生成物に同じファイル名のUSJ公式contentdata候補が存在し、HTTP 200 imageを確認。同一ファイル名・同一food IDのCDN移行先。","git-history-and-local-generated-data","scripts/output/foods.generated.json"
